安徽 Anhui AH

北京 Beijing BJ

福建 Fujian FJ

甘肃 Gansu GS

广东 Guangdong GD

广西 Guangxi GX

贵州 Guizhou GZ

海南 Hainan HI

河北 Hebei HE

河南 Henan HA

黑龙江 Heilongjiang HL

湖北 Hubei HB

湖南 Hunan HN

吉林 Jilin JL

江苏 Jiangsu JS

江西 Jiangxi JX

辽宁 Liaoning LN

内蒙古自治区 Inner Mongoria IM（NM）

宁夏 Ningxia NX

青海 Qinghai QH

山东 Shandong SD

山西 Shanxi SX

陕西 Shaanxi SN

上海 Shanghai SH

四川 Sichuan SC

天津 Tianjing TJ

西藏 Tibet XZ

新疆 Xinjiang XJ

云南 Yunnan YN

浙江 Zhejiang ZJ

重庆 Chongqing CQ

澳门 Macao MO

香港 Hong Kong HK

台湾 Taiwan TW
